,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
2412,232011383,724,,AUTO THEFT,C6,,0,2023-02-11 18:10:00+00,2023,2,Saturday ,18,,DISTRICT AVE,,,
2414,242022958,801,,ASSAULT - SIMPLE,E18,520,0,2024-03-20 15:21:00+00,2024,3,Wednesday,15,,HYDE PARK AVE,42.256215542554976,-71.12402029533455,"(42.256215542554976, -71.12402029533455)"
2431,242050218,423,,ASSAULT - AGGRAVATED,A7,26,0,2024-06-19 10:24:00+00,2024,6,Wednesday,10,,BORDER ST,42.37382704784248,-71.04052495666849,"(42.373827047842475, -71.04052495666849)"
2440,242050362,423,,ASSAULT - AGGRAVATED,D14,803,0,2024-06-19 18:37:00+00,2024,6,Wednesday,18,,CAMBRIDGE ST,42.35393454703682,-71.13652657631967,"(42.35393454703682, -71.13652657631967)"
2459,242050774,423,,ASSAULT - AGGRAVATED,A1,92,0,2024-06-21 01:23:00+00,2024,6,Friday   ,1,,COURT ST,42.35892230765933,-71.05835398886556,"(42.358922307659334, -71.05835398886556)"
2468,232042180,423,,ASSAULT - AGGRAVATED,E13,,0,2023-05-29 21:20:00+00,2023,5,Monday   ,21,,WESTMINSTER AVE,42.31668025783704,-71.0963894887495,"(42.31668025783704, -71.0963894887495)"
2482,242022429,724,,AUTO THEFT,C6,200,0,2024-03-19 17:15:00+00,2024,3,Tuesday  ,17,,W BROADWAY,42.34128702104515,-71.05467980204799,"(42.34128702104515, -71.05467980204799)"
2488,242022373,724,,AUTO THEFT,B2,282,0,2024-03-19 15:20:00+00,2024,3,Tuesday  ,15,,WASHINGTON ST,42.32866239451696,-71.08563458516488,"(42.32866239451696, -71.08563458516488)"
2497,242022799,801,,ASSAULT - SIMPLE,C11,461,0,2024-03-20 18:18:00+00,2024,3,Wednesday,18,,BOWDOIN AVE,42.30090923455106,-71.07425904176144,"(42.30090923455106, -71.07425904176144)"
2519,242050472,423,,ASSAULT - AGGRAVATED,C6,914,0,2024-06-20 08:57:00+00,2024,6,Thursday ,8,,COLONEL MICHAEL J. MCDONOUGH WAY,42.32790433562443,-71.05305633551671,"(42.32790433562443, -71.05305633551671)"
2539,242059572,301,,ROBBERY,E13,642,0,2024-07-18 23:09:00+00,2024,7,Thursday ,23,,BURROUGHS ST,42.31281678711447,-71.11612957346331,"(42.31281678711447, -71.11612957346331)"
2553,242059646,801,,ASSAULT - SIMPLE,C11,355,0,2024-07-05 00:01:00+00,2024,7,Friday   ,0,,GIBSON ST,42.297554856340426,-71.05970968687002,"(42.297554856340426, -71.05970968687002)"
2559,242059076,801,,ASSAULT - SIMPLE,A1,67,0,2024-07-18 08:12:00+00,2024,7,Thursday ,8,,"MYRTLE ST & IRVING ST
BOSTON, MA 02114
UNITED STAT",42.35931351956391,-71.06636550349012,"(42.359313519563905, -71.06636550349012)"
2561,242059093,724,,AUTO THEFT,C11,355,0,2024-07-17 20:00:00+00,2024,7,Wednesday,20,,GIBSON ST,42.297554856340426,-71.05970968687002,"(42.297554856340426, -71.05970968687002)"
2578,242060050,801,,ASSAULT - SIMPLE,D4,630,0,2024-07-20 16:27:00+00,2024,7,Saturday ,16,,"BEACON ST & PARK DR
BOSTON, MA 02215
UNITED STATES",42.346561608384334,-71.10505461572257,"(42.346561608384334, -71.10505461572257)"
2579,242059661,801,,ASSAULT - SIMPLE,D4,170,0,2024-07-19 12:51:00+00,2024,7,Friday   ,12,,WASHINGTON ST,42.33674970032857,-71.07662841437093,"(42.33674970032857, -71.07662841437093)"
2611,242059984,706,,AUTO THEFT - MOTORCYCLE / SCOOTER,C6,914,0,2024-07-20 11:55:00+00,2024,7,Saturday ,11,,DORCHESTER AVE,42.327430184628696,-71.05690412659018,"(42.327430184628696, -71.05690412659018)"
2617,232041373,423,,ASSAULT - AGGRAVATED,C6,186,0,2023-05-26 21:58:00+00,2023,5,Friday   ,21,,MASSACHUSETTS AVE,42.32553754017519,-71.06579645470285,"(42.32553754017519, -71.06579645470285)"
2649,242060248,423,,ASSAULT - AGGRAVATED,B3,414,0,2024-07-21 10:38:00+00,2024,7,Sunday   ,10,,WASHINGTON ST,42.27747066938876,-71.06958678257655,"(42.277470669388755, -71.06958678257655)"
2663,232041989,801,,ASSAULT - SIMPLE,C6,,0,2023-05-29 09:07:00+00,2023,5,Monday   ,9,,ALBANY ST,42.34363710633753,-71.06223103657115,"(42.34363710633753, -71.06223103657115)"
2678,242060074,301,,ROBBERY,B3,418,0,2024-07-20 17:02:00+00,2024,7,Saturday ,17,,MORTON ST,42.280611864800576,-71.08350213587174,"(42.280611864800576, -71.08350213587174)"
2687,242059728,706,,AUTO THEFT - MOTORCYCLE / SCOOTER,E5,691,0,2024-07-15 08:30:00+00,2024,7,Monday   ,8,,CENTRE ST,42.28709320338153,-71.14822209118665,"(42.28709320338153, -71.14822209118665)"
2693,242059633,801,,ASSAULT - SIMPLE,D4,167,0,2024-07-19 10:30:00+00,2024,7,Friday   ,10,,HARRISON AVE,42.33954152609665,-71.06940928222296,"(42.33954152609665, -71.06940928222296)"
2718,232064704,724,,AUTO THEFT,C6,,0,2023-08-14 00:52:00+00,2023,8,Monday   ,0,,"DORCHESTER ST & OLD COLONY AVE
SOUTH BOSTON, MA 02",42.33159049904554,-71.05312548023471,"(42.33159049904554, -71.05312548023471)"
2725,242059576,301,,ROBBERY,D4,150,0,2024-07-18 23:31:00+00,2024,7,Thursday ,23,,"APPLETON ST & DARTMOUTH ST
BOSTON, MA 02116
UNITED",42.34510951671539,-71.07486845461537,"(42.34510951671539, -71.07486845461537)"
2736,232064609,801,,ASSAULT - SIMPLE,D14,,0,2023-08-13 18:01:00+00,2023,8,Sunday   ,18,,HARVARD AVE,42.35085332729481,-71.13125809815298,"(42.35085332729481, -71.13125809815298)"
2749,242060274,801,,ASSAULT - SIMPLE,A1,77,0,2024-07-20 14:30:00+00,2024,7,Saturday ,14,,SUDBURY ST,,,
2759,242060368,301,,ROBBERY,B3,476,0,2024-07-21 18:37:00+00,2024,7,Sunday   ,18,,BLUE HILL AVE,42.2699468933332,-71.0938037982284,"(42.2699468933332, -71.0938037982284)"
2768,232075204,801,,ASSAULT - SIMPLE,D4,134,0,2023-09-17 13:45:00+00,2023,9,Sunday   ,13,,BOYLSTON ST,42.35157029400277,-71.07186648197893,"(42.35157029400277, -71.07186648197893)"
2776,232075311,423,,ASSAULT - AGGRAVATED,B3,944,1,2023-09-17 20:36:00+00,2023,9,Sunday   ,20,,AMES ST,42.28956944001412,-71.0851056652258,"(42.28956944001412, -71.0851056652258)"
2791,232064541,801,,ASSAULT - SIMPLE,B3,943,0,2023-08-13 13:07:00+00,2023,8,Sunday   ,13,,STANDARD ST,42.274512187113615,-71.08004964369594,"(42.274512187113615, -71.08004964369594)"
2799,232064616,423,,ASSAULT - AGGRAVATED,D4,,0,2023-08-13 18:32:00+00,2023,8,Sunday   ,18,,W DEDHAM ST,42.34186719018027,-71.07272266203691,"(42.34186719018027, -71.07272266203691)"
2814,232041692,801,,ASSAULT - SIMPLE,B2,304,0,2023-05-28 00:19:00+00,2023,5,Sunday   ,0,,DIMOCK ST,42.31949736736938,-71.09707413709573,"(42.31949736736938, -71.09707413709573)"
2816,232041137,301,,ROBBERY,B3,,0,2023-05-22 14:20:00+00,2023,5,Monday   ,14,,TALBOT AVE,42.29268666453145,-71.08038491338728,"(42.29268666453145, -71.08038491338728)"
2859,232042203,801,,ASSAULT - SIMPLE,A1,75,0,2023-05-29 22:55:00+00,2023,5,Monday   ,22,,CAUSEWAY ST,42.36497502467358,-71.06204443964049,"(42.36497502467358, -71.06204443964049)"
2860,232041922,301,,ROBBERY,A15,,0,2023-05-29 00:15:00+00,2023,5,Monday   ,0,,"MAFFA WAY & CAMBRIDGE ST
CHARLESTOWN, MA 02129
UNI",42.384030520721495,-71.07426145195032,"(42.384030520721495, -71.07426145195032)"
2878,232041840,301,,ROBBERY,A1,77,0,2023-05-28 01:40:00+00,2023,5,Sunday   ,1,,SUDBURY ST,,,
2887,242064758,423,,ASSAULT - AGGRAVATED,D14,794,0,2024-08-04 23:09:00+00,2024,8,Sunday   ,23,,COMMONWEALTH AVE,42.34835670092959,-71.13645354972218,"(42.348356700929585, -71.13645354972218)"
2890,232069490,801,,ASSAULT - SIMPLE,B2,593,0,2023-08-29 16:48:00+00,2023,8,Tuesday  ,16,,FRANCIS ST,42.33457447324332,-71.10551267190108,"(42.334574473243315, -71.10551267190108)"
2897,232056845,801,,ASSAULT - SIMPLE,A15,,0,2023-07-18 20:56:00+00,2023,7,Tuesday  ,20,,AUSTIN ST,42.37479403548097,-71.06600913663767,"(42.37479403548097, -71.06600913663767)"
2902,232056610,724,,AUTO THEFT,E18,520,0,2023-07-17 18:00:00+00,2023,7,Monday   ,18,,HYDE PARK AVE,42.256215542554976,-71.12402029533455,"(42.256215542554976, -71.12402029533455)"
2907,232056614,423,,ASSAULT - AGGRAVATED,B3,434,0,2023-07-18 08:46:00+00,2023,7,Tuesday  ,8,,THETFORD AVENUE,,,
2926,232056739,801,,ASSAULT - SIMPLE,B2,,0,2023-07-18 16:04:00+00,2023,7,Tuesday  ,16,,TREMONT ST,42.33402417778492,-71.09039106671881,"(42.33402417778492, -71.09039106671881)"
2946,242021803,423,,ASSAULT - AGGRAVATED,C6,915,0,2024-03-17 17:40:00+00,2024,3,Sunday   ,17,,E EIGHTH ST,42.331780042659325,-71.04941499013108,"(42.331780042659325, -71.04941499013108)"
2950,242021809,801,,ASSAULT - SIMPLE,C6,200,0,2024-03-17 14:45:00+00,2024,3,Sunday   ,14,,W BROADWAY,42.34128702104515,-71.05467980204799,"(42.34128702104515, -71.05467980204799)"
2953,242021812,801,,ASSAULT - SIMPLE,B3,432,0,2024-03-17 17:57:00+00,2024,3,Sunday   ,17,,CALLENDER ST,42.2879277512819,-71.08502237188921,"(42.2879277512819, -71.08502237188921)"
2993,232037463,301,,ROBBERY,D4,,0,2023-05-14 03:58:00+00,2023,5,Sunday   ,3,,SAINT BOTOLPH ST,42.34617430405142,-71.07925972359233,"(42.34617430405142, -71.07925972359233)"
2997,232037576,301,,ROBBERY,A7,16,0,2023-05-13 02:00:00+00,2023,5,Saturday ,2,,E EAGLE ST,42.38132453142911,-71.02804042233107,"(42.38132453142911, -71.02804042233107)"
3002,232037642,801,,ASSAULT - SIMPLE,E13,572,0,2023-05-14 18:51:00+00,2023,5,Sunday   ,18,,WASHINGTON ST,42.31538394123891,-71.09870084619116,"(42.31538394123891, -71.09870084619116)"
3004,232037564,423,,ASSAULT - AGGRAVATED,D4,,0,2023-05-14 14:21:00+00,2023,5,Sunday   ,14,,HARRISON AVE,42.33954152609665,-71.06940928222296,"(42.33954152609665, -71.06940928222296)"
3024,242022503,801,,ASSAULT - SIMPLE,B3,481,0,2024-03-19 20:10:00+00,2024,3,Tuesday  ,20,,RIVER ST,42.266812116547946,-71.09567034840114,"(42.266812116547946, -71.09567034840114)"
3027,242022276,706,,AUTO THEFT - MOTORCYCLE / SCOOTER,A7,16,0,2024-03-15 18:00:00+00,2024,3,Friday   ,18,,E EAGLE ST,42.38132453142911,-71.02804042233107,"(42.38132453142911, -71.02804042233107)"
3031,242021783,423,,ASSAULT - AGGRAVATED,C11,337,0,2024-03-17 17:12:00+00,2024,3,Sunday   ,17,,COLUMBIA RD,42.30889316220174,-71.07410532675802,"(42.30889316220174, -71.07410532675802)"
3033,242021856,801,,ASSAULT - SIMPLE,D4,142,0,2024-03-17 19:12:00+00,2024,3,Sunday   ,19,,NEWBURY ST,42.34840532084056,-71.08688391940139,"(42.34840532084056, -71.08688391940139)"
3040,242050746,801,,ASSAULT - SIMPLE,D4,624,0,2024-06-20 22:50:00+00,2024,6,Thursday ,22,,JERSEY ST,42.34412579177451,-71.09760934248418,"(42.34412579177451, -71.09760934248418)"
3041,242050233,301,,ROBBERY,A7,16,0,2024-06-19 10:58:00+00,2024,6,Wednesday,10,,E EAGLE ST,42.38132453142911,-71.02804042233107,"(42.38132453142911, -71.02804042233107)"
3048,242050261,423,,ASSAULT - AGGRAVATED,A1,112,0,2024-06-19 13:21:00+00,2024,6,Wednesday,13,,WASHINGTON ST,42.35512291409929,-71.06088025712485,"(42.35512291409929, -71.06088025712485)"
3061,232037663,801,,ASSAULT - SIMPLE,A7,16,0,2023-05-05 00:00:00+00,2023,5,Friday   ,0,,E EAGLE ST,42.38132453142911,-71.02804042233107,"(42.38132453142911, -71.02804042233107)"
3066,232037510,801,,ASSAULT - SIMPLE,A1,,0,2023-05-14 11:16:00+00,2023,5,Sunday   ,11,,NORTH ST,42.36045047253847,-71.0564406191821,"(42.36045047253847, -71.0564406191821)"
3090,242050706,724,,AUTO THEFT,D4,167,0,2024-06-20 18:40:00+00,2024,6,Thursday ,18,,HARRISON AVE,42.33954152609665,-71.06940928222296,"(42.33954152609665, -71.06940928222296)"
3093,242050532,801,,ASSAULT - SIMPLE,D14,807,0,2024-06-20 11:24:00+00,2024,6,Thursday ,11,,WESTERN AVE,42.36284134765465,-71.13792294977702,"(42.36284134765465, -71.13792294977702)"
3122,232069715,801,,ASSAULT - SIMPLE,E18,520,0,2023-08-11 00:00:00+00,2023,8,Friday   ,0,,HYDE PARK AVE,42.256215542554976,-71.12402029533455,"(42.256215542554976, -71.12402029533455)"
3134,242050752,724,,AUTO THEFT,D4,167,0,2024-06-20 22:30:00+00,2024,6,Thursday ,22,,HARRISON AVE,42.33954152609665,-71.06940928222296,"(42.33954152609665, -71.06940928222296)"
3149,242050176,724,,AUTO THEFT,E13,574,0,2024-06-18 19:00:00+00,2024,6,Tuesday  ,19,,WASHINGTON ST,42.30971815419562,-71.10429497557632,"(42.30971815419562, -71.10429497557632)"
3151,242050242,423,,ASSAULT - AGGRAVATED,C11,362,1,2024-06-19 12:26:00+00,2024,6,Wednesday,12,,KENWOOD ST,42.291912048216176,-71.07049492990885,"(42.291912048216176, -71.07049492990885)"
3160,242050317,423,,ASSAULT - AGGRAVATED,C11,346,0,2024-06-19 15:48:00+00,2024,6,Wednesday,15,,MOUNT IDA RD,42.30480441473011,-71.06421483898497,"(42.30480441473011, -71.06421483898497)"
3168,242064261,301,,ROBBERY,B3,417,0,2024-08-02 23:59:00+00,2024,8,Friday   ,23,,STOCKTON ST,42.28265558438205,-71.07374606027363,"(42.28265558438205, -71.07374606027363)"
3169,242050762,801,,ASSAULT - SIMPLE,D4,285,0,2024-06-21 01:00:00+00,2024,6,Friday   ,1,,COVENTRY ST,42.33695054088221,-71.08574868447207,"(42.33695054088221, -71.08574868447207)"
3176,242050509,801,,ASSAULT - SIMPLE,C11,355,0,2024-06-10 12:00:00+00,2024,6,Monday   ,12,,GIBSON ST,42.297554856340426,-71.05970968687002,"(42.297554856340426, -71.05970968687002)"
3186,242050748,801,,ASSAULT - SIMPLE,C11,355,0,2024-06-20 22:30:00+00,2024,6,Thursday ,22,,GIBSON ST,42.297554856340426,-71.05970968687002,"(42.297554856340426, -71.05970968687002)"
3198,242050566,423,,ASSAULT - AGGRAVATED,B2,300,0,2024-06-20 13:09:00+00,2024,6,Thursday ,13,,VALENTINE ST & THORNTON ST,42.3221875559838,-71.09263355024906,"(42.322187555983795, -71.09263355024906)"
3202,242050579,801,,ASSAULT - SIMPLE,B3,444,0,2024-06-20 13:26:00+00,2024,6,Thursday ,13,,ESMOND ST,42.296915680373466,-71.08363957934489,"(42.296915680373466, -71.08363957934489)"
3220,242059858,301,,ROBBERY,E13,579,0,2024-07-19 22:21:00+00,2024,7,Friday   ,22,,CENTRE ST,42.322913645981735,-71.10328464648619,"(42.322913645981735, -71.10328464648619)"
3225,242059644,724,,AUTO THEFT,B3,465,0,2024-07-19 00:00:00+00,2024,7,Friday   ,0,,BLUE HILL AVE,42.28482533772862,-71.09137437366408,"(42.28482533772862, -71.09137437366408)"
3234,242060047,301,,ROBBERY,B2,259,0,2024-07-20 15:43:00+00,2024,7,Saturday ,15,,"MAGNOLIA ST & ROBIN HOOD ST
DORCHESTER, MA 02125
U",42.3174335386471,-71.07038857989409,"(42.3174335386471, -71.07038857989409)"
3236,242060189,801,,ASSAULT - SIMPLE,A1,122,0,2024-07-21 02:31:00+00,2024,7,Sunday   ,2,,TREMONT ST,42.349428171490224,-71.06536689336696,"(42.349428171490224, -71.06536689336696)"
3237,242060164,423,,ASSAULT - AGGRAVATED,C11,388,1,2024-07-20 22:57:00+00,2024,7,Saturday ,22,,DORCHESTER AVE,42.278398738723865,-71.0663636931385,"(42.278398738723865, -71.0663636931385)"
3239,242059734,801,,ASSAULT - SIMPLE,C11,462,0,2024-07-19 15:48:00+00,2024,7,Friday   ,15,,BOWDOIN AVE,42.30090923455106,-71.07425904176144,"(42.30090923455106, -71.07425904176144)"
3247,242060897,724,,AUTO THEFT,B2,297,0,2024-07-23 14:30:00+00,2024,7,Tuesday  ,14,,KENSINGTON PARK,42.32224210174002,-71.08277414356559,"(42.322242101740024, -71.08277414356559)"
3257,232037976,801,,ASSAULT - SIMPLE,C6,,0,2023-05-15 19:28:00+00,2023,5,Monday   ,19,,"BOSTON ST & WASHBURN ST
DORCHESTER, MA 02125
UNITE",42.3259365323718,-71.0588535371066,"(42.3259365323718, -71.0588535371066)"
3273,242059883,801,,ASSAULT - SIMPLE,A1,64,0,2024-07-20 00:40:00+00,2024,7,Saturday ,0,,CHARLES ST,42.36192745368984,-71.07082020131229,"(42.361927453689844, -71.07082020131229)"
3275,242059069,801,,ASSAULT - SIMPLE,E13,657,0,2024-07-18 05:03:00+00,2024,7,Thursday ,5,,CENTRE ST,42.300988511144574,-71.12708218830532,"(42.300988511144574, -71.12708218830532)"
3277,242056821,423,,ASSAULT - AGGRAVATED,B3,456,1,2024-07-10 21:47:00+00,2024,7,Wednesday,21,,GREENWOOD ST,42.30262084647255,-71.07918460423112,"(42.30262084647255, -71.07918460423112)"
3282,242059170,3305,,DRUNKENNESS,E13,307,0,2024-07-18 10:55:00+00,2024,7,Thursday ,10,,COLUMBUS AVE,42.31370093544447,-71.09551255037364,"(42.313700935444466, -71.09551255037364)"
3308,232075228,801,,ASSAULT - SIMPLE,E18,520,0,2023-09-17 11:00:00+00,2023,9,Sunday   ,11,,HYDE PARK AVE,42.256215542554976,-71.12402029533455,"(42.256215542554976, -71.12402029533455)"
3309,232064537,423,,ASSAULT - AGGRAVATED,A7,,0,2023-08-13 13:00:00+00,2023,8,Sunday   ,13,,BORDER ST & MAVERICK ST,42.37162752067222,-71.04228534643126,"(42.37162752067222, -71.04228534643126)"
3315,242060321,423,,ASSAULT - AGGRAVATED,C11,241,0,2024-07-21 16:04:00+00,2024,7,Sunday   ,16,,ALVAN TER,42.31716660899755,-71.0626435334934,"(42.31716660899755, -71.0626435334934)"
3320,242059922,423,,ASSAULT - AGGRAVATED,A1,111,0,2024-07-20 07:10:00+00,2024,7,Saturday ,7,,BOYLSTON ST,42.35231142441357,-71.06370557218405,"(42.35231142441357, -71.06370557218405)"
3323,242059544,724,,AUTO THEFT,C11,355,0,2024-07-18 21:13:00+00,2024,7,Thursday ,21,,GIBSON ST,42.297554856340426,-71.05970968687002,"(42.297554856340426, -71.05970968687002)"
3324,242059707,801,,ASSAULT - SIMPLE,C11,338,0,2024-07-19 14:50:00+00,2024,7,Friday   ,14,,BOWDOIN ST,42.310167165046494,-71.06291236139909,"(42.310167165046494, -71.06291236139909)"
3333,242060156,423,,ASSAULT - AGGRAVATED,B3,474,0,2024-07-20 21:39:00+00,2024,7,Saturday ,21,,CUMMINS HWY,42.2711936903265,-71.10398713072902,"(42.2711936903265, -71.10398713072902)"
3338,242059065,724,,AUTO THEFT,B2,288,0,2024-07-18 03:37:00+00,2024,7,Thursday ,3,,WASHINGTON ST,42.32925860585426,-71.0848245909045,"(42.329258605854264, -71.0848245909045)"
3352,242059578,301,,ROBBERY,D4,170,0,2024-07-18 23:40:00+00,2024,7,Thursday ,23,,"MASSACHUSETTS AVE & WASHINGTON ST
BOSTON, MA 02118",42.33644955430876,-71.0770284851623,"(42.33644955430876, -71.0770284851623)"
3353,242060157,801,,ASSAULT - SIMPLE,A1,117,0,2024-07-20 22:43:00+00,2024,7,Saturday ,22,,LAGRANGE ST,42.351571735683095,-71.06353974623725,"(42.351571735683095, -71.06353974623725)"
3362,242060099,423,,ASSAULT - AGGRAVATED,A1,96,0,2024-07-20 18:05:00+00,2024,7,Saturday ,18,,LONG WHRF,42.36001423779012,-71.04930452781426,"(42.36001423779012, -71.04930452781426)"
3363,242059539,724,,AUTO THEFT,E18,520,0,2024-07-15 15:00:00+00,2024,7,Monday   ,15,,HYDE PARK AVE,42.256215542554976,-71.12402029533455,"(42.256215542554976, -71.12402029533455)"
3386,242059564,801,,ASSAULT - SIMPLE,A7,942,0,2024-07-18 21:38:00+00,2024,7,Thursday ,21,,WALDEMAR AVE,42.39327233889834,-71.00793939527921,"(42.39327233889834, -71.00793939527921)"
3391,242059951,423,,ASSAULT - AGGRAVATED,C6,914,0,2024-07-20 10:32:00+00,2024,7,Saturday ,10,,COLONEL MICHAEL J. MCDONOUGH WAY,42.32790433562443,-71.05305633551671,"(42.32790433562443, -71.05305633551671)"
3395,242059580,301,,ROBBERY,B3,943,0,2024-07-18 21:50:00+00,2024,7,Thursday ,21,,STANDARD ST,42.27661456439378,-71.08029898936013,"(42.27661456439378, -71.08029898936013)"
3398,242059652,423,,ASSAULT - AGGRAVATED,D14,956,0,2024-07-19 11:45:00+00,2024,7,Friday   ,11,,WASHINGTON ST,42.34266908580924,-71.14098845220991,"(42.34266908580924, -71.14098845220991)"
3420,242060130,801,,ASSAULT - SIMPLE,A7,6,0,2024-07-20 20:28:00+00,2024,7,Saturday ,20,,BAYSWATER ST,42.38475606455192,-71.00489983740476,"(42.384756064551915, -71.00489983740476)"
3430,232041358,423,,ASSAULT - AGGRAVATED,B2,,0,2023-05-26 20:44:00+00,2023,5,Friday   ,20,,BLUE HILL AVE,42.31757748690809,-71.07795040357394,"(42.31757748690809, -71.07795040357394)"
3450,232064420,801,,ASSAULT - SIMPLE,E5,910,0,2023-08-13 00:00:00+00,2023,8,Sunday   ,0,,WASHINGTON ST,42.27800608421025,-71.13733803000335,"(42.27800608421025, -71.13733803000335)"
3452,232064309,801,,ASSAULT - SIMPLE,B3,465,0,2023-08-12 00:00:00+00,2023,8,Saturday ,0,,BLUE HILL AVE,42.28482533772862,-71.09137437366408,"(42.28482533772862, -71.09137437366408)"
3476,242060269,724,,AUTO THEFT,E13,574,0,2024-07-20 17:00:00+00,2024,7,Saturday ,17,,WASHINGTON ST,42.30971815419562,-71.10429497557632,"(42.30971815419562, -71.10429497557632)"
3511,232037820,724,,AUTO THEFT,B2,,0,2023-05-15 09:45:00+00,2023,5,Monday   ,9,,TREMONT ST,42.33364357476461,-71.0908635919076,"(42.33364357476461, -71.0908635919076)"
3515,232037735,724,,AUTO THEFT,A7,16,0,2023-05-15 06:55:00+00,2023,5,Monday   ,6,,E EAGLE ST,42.38132453142911,-71.02804042233107,"(42.38132453142911, -71.02804042233107)"
3517,232011618,724,,AUTO THEFT,D4,129,0,2023-02-12 15:30:00+00,2023,2,Sunday   ,15,,"SAINT JAMES AVE & BERKELEY ST
BOSTON, MA 02116
UNI",42.350419496041965,-71.0726504797943,"(42.350419496041965, -71.0726504797943)"
3538,232037947,706,,AUTO THEFT - MOTORCYCLE / SCOOTER,E13,574,0,2023-05-15 18:30:00+00,2023,5,Monday   ,18,,WASHINGTON ST,42.30971815419562,-71.10429497557632,"(42.30971815419562, -71.10429497557632)"
3539,232037829,724,,AUTO THEFT,B2,282,0,2023-05-14 00:00:00+00,2023,5,Sunday   ,0,,WASHINGTON ST,42.32866239451696,-71.08563458516488,"(42.32866239451696, -71.08563458516488)"
3595,232045651,423,,ASSAULT - AGGRAVATED,C11,,0,2023-06-10 17:44:00+00,2023,6,Saturday ,17,,BOYD ST,42.30027120236857,-71.06839008378216,"(42.30027120236857, -71.06839008378216)"
3596,232045617,724,,AUTO THEFT,D4,167,0,2023-06-10 15:15:00+00,2023,6,Saturday ,15,,HARRISON AVE,42.33954152609665,-71.06940928222296,"(42.33954152609665, -71.06940928222296)"
3598,232045679,301,,ROBBERY,D4,598,0,2023-06-10 19:35:00+00,2023,6,Saturday ,19,,"BOYLSTON ST & MASSACHUSETTS AVE
BOSTON, MA 02215
U",42.34729958600492,-71.08775052834892,"(42.34729958600492, -71.08775052834892)"
3604,232045570,724,,AUTO THEFT,C11,,0,2023-06-10 00:00:00+00,2023,6,Saturday ,0,,"BOWDOIN ST & HAMILTON ST
DORCHESTER, MA 02125
UNIT",42.30624356082334,-71.06701255316764,"(42.30624356082334, -71.06701255316764)"
3609,232001062,724,,AUTO THEFT,E5,691,0,2023-01-05 08:04:00+00,2023,1,Thursday ,8,,CENTRE ST,42.28709320338153,-71.14822209118665,"(42.28709320338153, -71.14822209118665)"
3623,232041706,423,,ASSAULT - AGGRAVATED,B2,,1,2023-05-28 04:19:00+00,2023,5,Sunday   ,4,,HAMLET ST,42.31841421320184,-71.06507369373577,"(42.31841421320184, -71.06507369373577)"
3628,232011663,423,,ASSAULT - AGGRAVATED,D14,,0,2023-02-12 23:28:00+00,2023,2,Sunday   ,23,,STRATHMORE RD,42.3392864803016,-71.15334954579791,"(42.3392864803016, -71.15334954579791)"
3632,232011497,724,,AUTO THEFT,C11,355,0,2023-02-12 09:05:00+00,2023,2,Sunday   ,9,,GIBSON ST,42.297554856340426,-71.05970968687002,"(42.297554856340426, -71.05970968687002)"
3644,232045935,801,,ASSAULT - SIMPLE,E13,574,0,2023-06-11 21:56:00+00,2023,6,Sunday   ,21,,WASHINGTON ST,42.30971815419562,-71.10429497557632,"(42.30971815419562, -71.10429497557632)"
3658,232000328,801,,ASSAULT - SIMPLE,B2,,0,2023-01-02 11:54:00+00,2023,1,Monday   ,11,,DUDLEY ST,42.31735425056758,-71.06583025569181,"(42.31735425056758, -71.06583025569181)"
3662,232000463,724,,AUTO THEFT,B3,465,0,2023-01-02 20:43:00+00,2023,1,Monday   ,20,,BLUE HILL AVE,42.28482533772862,-71.09137437366408,"(42.28482533772862, -71.09137437366408)"
3666,232000434,724,,AUTO THEFT,D14,808,0,2023-01-02 17:45:00+00,2023,1,Monday   ,17,,LINCOLN ST,42.35779096005812,-71.13937116251333,"(42.35779096005812, -71.13937116251333)"
3676,232041719,423,,ASSAULT - AGGRAVATED,B3,,0,2023-05-28 06:12:00+00,2023,5,Sunday   ,6,,ROXTON ST,42.298254438383424,-71.08041924332908,"(42.298254438383424, -71.08041924332908)"
3685,232106043,724,,AUTO THEFT,C11,255,0,2023-12-29 21:00:00+00,2023,12,Friday   ,21,,DORCHESTER AVE,42.30947567671176,-71.05800143476625,"(42.30947567671176, -71.05800143476625)"
3689,232106170,801,,ASSAULT - SIMPLE,C6,206,0,2023-12-28 15:30:00+00,2023,12,Thursday ,15,,SEAPORT BLVD,42.35275567415722,-71.04748170860296,"(42.35275567415722, -71.04748170860296)"
3690,232106198,423,,ASSAULT - AGGRAVATED,D14,767,0,2023-12-09 21:00:00+00,2023,12,Saturday ,21,,SOLDIERS FIELD RD,42.35934373406279,-71.15389845967019,"(42.35934373406279, -71.15389845967019)"
3694,232106319,801,,ASSAULT - SIMPLE,B2,320,0,2023-12-30 22:00:00+00,2023,12,Saturday ,22,,MAPLE ST,42.30978702423477,-71.08503157263443,"(42.30978702423477, -71.08503157263443)"
